"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","response","value","feel_trial_type","correct","earn","gamble_trial_type","win","lose","sure","gamble_side"
"","-1","html-keyboard-response","188","350931","0.0-188.0","<h2>If you choose the <span style=""color:red"">BAD</span> picture, you will lose $1.2</h2>","-1","","","","","","","","","",""
"","169","xab-image","189","352120","0.0-189.0","[""img/stim35.jpg"",""img/stim35.jpg"",""img/stim16.jpg""]","81","","","","false","","","","","",""
"","-1","html-keyboard-response","190","354121","0.0-190.0","<h2><span style=""color:red"">-$1.2</span></h2>","-1","","","","","-1.2","","","","",""
"","1505","html-slider-response","191","355627","0.0-191.0","","","4","0","now","","","","","","",""
"","-1","image-keyboard-response","192","356629","0.0-192.0","img/cross.jpg","-1","","","","","","","","","",""
"","-1","html-keyboard-response","193","358630","0.0-193.0","<h2>If you choose the <span style=""color:red"">BAD</span> picture, you will lose $6</h2>","-1","","","","","","","","","",""
"","523","xab-image","194","360157","0.0-194.0","[""img/stim28.jpg"",""img/stim28.jpg"",""img/stim1.jpg""]","80","","","","false","","","","","",""
"","-1","html-keyboard-response","195","362166","0.0-195.0","<h2><span style=""color:red"">-$6</span></h2>","-1","","","","","-6","","","","",""
"","5617","html-slider-response","196","367786","0.0-196.0","","","6","-6","now","","","","","","",""
"","-1","image-keyboard-response","197","368788","0.0-197.0","img/cross.jpg","-1","","","","","","","","","",""
"","-1","html-keyboard-response","198","370789","0.0-198.0","<h2>If you choose the <span style=""color:green"">GOOD</span> picture, you will win $8</h2>","-1","","","","","","","","","",""
"","53","xab-image","199","371852","0.0-199.0","[""img/stim8.jpg"",""img/stim8.jpg"",""img/stim24.jpg""]","80","","","","false","","","","","",""
"","-1","html-keyboard-response","200","373862","0.0-200.0","<h2><span style=""color:green"">+$8</span></h2>","-1","","","","","8","","","","",""
"","72","html-slider-response","201","373936","0.0-201.0","","","5","0","now","","","","","","",""
